Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.295554	3.126173	91.552000	43.440000	
0.001000	0.287755	3.144981	91.712000	43.520000	
0.001000	0.273902	3.182463	92.154000	43.690000	
0.001000	0.266121	3.206853	92.482000	43.590000	
0.001000	0.260669	3.219169	92.584000	43.380000	
0.001000	0.246219	3.244149	92.936000	43.410000	
0.001000	0.240906	3.258089	93.262000	43.440000	
0.001000	0.231670	3.288068	93.438000	43.400000	
0.001000	0.229365	3.291177	93.520000	43.120000	
0.001000	0.222643	3.291533	93.776000	43.570000	
0.001000	0.213870	3.322527	94.006000	43.790000	
0.001000	0.213884	3.332989	94.036000	43.470000	
0.001000	0.206793	3.345175	94.286000	43.630000	
0.001000	0.199544	3.352285	94.558000	43.550000	
0.001000	0.196493	3.375515	94.688000	43.450000	
0.001000	0.191680	3.379973	94.796000	43.410000	
0.001000	0.184717	3.410016	94.888000	43.460000	
0.001000	0.181071	3.398082	95.158000	43.610000	
0.001000	0.183238	3.424679	95.002000	43.700000	
0.001000	0.176873	3.427855	95.174000	43.410000	
0.001000	0.173037	3.429323	95.394000	43.580000	
0.001000	0.172895	3.435921	95.312000	43.710000	
0.001000	0.168067	3.443567	95.568000	43.330000	
0.001000	0.163930	3.450418	95.740000	43.630000	
0.001000	0.159153	3.473936	95.758000	43.610000	
0.001000	0.156780	3.441343	95.952000	43.460000	
0.001000	0.153855	3.481582	95.998000	43.740000	
0.001000	0.150215	3.488190	96.146000	43.220000	
0.001000	0.147681	3.488571	96.174000	43.510000	
0.001000	0.147803	3.502545	96.140000	43.550000	
0.001000	0.142812	3.502940	96.352000	43.810000	
0.001000	0.142011	3.502362	96.362000	43.560000	
0.001000	0.141650	3.507416	96.416000	43.650000	
0.001000	0.137442	3.513670	96.454000	43.590000	
0.001000	0.134195	3.509699	96.632000	43.420000	
